image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000004134.png,random_crop_0.5,single_scale,0.5,0,10.4255,6.7757,1.0
000000004134.png,jpeg_q30,single_scale,1.0,1,10.4255,12.9953,1.0
000000004395.png,none,single_scale,1.0,1,10.8114,10.8114,1.0
000000004395.png,center_crop_0.5,single_scale,0.5,0,10.8114,6.0266,1.0
000000004395.png,center_crop_0.75,single_scale,0.71875,0,10.8114,7.5565,1.0
000000004395.png,random_crop_0.5,single_scale,0.5625,0,10.8114,6.0375,1.0
000000004395.png,jpeg_q30,single_scale,1.0,1,10.8114,12.7983,1.0
000000004495.png,none,single_scale,1.0,1,9.7467,9.7467,1.0
000000004495.png,center_crop_0.5,single_scale,0.5,0,9.7467,7.5029,1.0
000000004495.png,center_crop_0.75,single_scale,0.53125,0,9.7467,8.3384,1.0
000000004495.png,random_crop_0.5,single_scale,0.46875,0,9.7467,6.961,1.0
000000004495.png,jpeg_q30,single_scale,1.0,1,9.7467,12.8884,1.0
000000004765.png,none,single_scale,1.0,1,9.8066,9.8066,1.0
000000004765.png,center_crop_0.5,single_scale,0.5,0,9.8066,7.147,1.0
000000004765.png,center_crop_0.75,single_scale,0.53125,0,9.8066,7.9664,1.0
000000004765.png,random_crop_0.5,single_scale,0.5,0,9.8066,6.6089,1.0
000000004765.png,jpeg_q30,single_scale,1.0,1,9.8066,12.9213,1.0
000000004795.png,none,single_scale,1.0,1,10.0539,10.0539,1.0
000000004795.png,center_crop_0.5,single_scale,0.5,0,10.0539,6.8165,1.0
000000004795.png,center_crop_0.75,single_scale,0.53125,0,10.0539,8.0355,1.0
000000004795.png,random_crop_0.5,single_scale,0.5,0,10.0539,8.7567,1.0
000000004795.png,jpeg_q30,single_scale,1.0,1,10.0539,12.8616,1.0
000000005001.png,none,single_scale,1.0,1,10.4334,10.4334,1.0
000000005001.png,center_crop_0.5,single_scale,0.5,0,10.4334,6.4817,1.0
000000005001.png,center_crop_0.75,single_scale,0.5,0,10.4334,6.804,1.0
000000005001.png,random_crop_0.5,single_scale,0.5,0,10.4334,7.4208,1.0
