scheme,code_mode,scenario,attack,decode_method,mean_bit_accuracy,mean_payload_accuracy,payload_success_rate,mean_composite_psnr,num_source_rows
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,0.328125,0.687500,0.000000,40.3906,2
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.328125,0.687500,0.000000,40.3906,2
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.000000,0.458333,0.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.197917,0.583333,0.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.385417,0.625000,0.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.000000,0.458333,0.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.375000,0.583333,0.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.218750,0.625000,0.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,none,global_full_canvas,0.000000,0.458333,0.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.000000,0.458333,0.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.572917,0.625000,0.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.364583,0.583333,0.000000,38.0186,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.520833,0.625000,0.000000,40.4867,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.104167,0.291667,0.000000,40.4867,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.093750,0.333333,0.000000,40.4867,3
