image,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000134322.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1482,26.6693,32778,0
000000134322.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1482,25.1838,33662,0
000000134322.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.1482,25.2011,36526,0
000000134322.png,0.2500,center_crop_0.5,01000110001000101101011111111101,10000110001100101101011111011101,0.875000,0,28.1482,12.7199,65536,0
000000150649.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1627,28.1627,31976,0
000000150649.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1627,28.5263,35790,0
000000150649.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.1627,27.7875,36121,0
000000150649.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110000000101101011011111111,0.875000,0,28.1627,27.2028,37297,0
000000150649.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1627,26.7290,32205,0
000000150649.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1627,24.7994,33171,0
000000150649.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011101,0.875000,0,28.1627,24.7854,35938,0
000000150649.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001101101101011111011101,0.906250,0,28.1627,12.2143,44509,0
000000154000.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2854,28.2854,32667,0
000000154000.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110000000101101011111111111,0.906250,0,28.2854,29.1818,36671,0
000000154000.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.2854,28.3498,37306,0
000000154000.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110000000101001011011111111,0.843750,0,28.2854,27.8362,36907,0
000000154000.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2854,26.5630,32864,0
000000154000.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.2854,23.9073,33595,0
000000154000.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.2854,23.9497,36856,0
000000154000.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001000101101111111011101,0.937500,0,28.2854,8.5486,49237,0
000000186632.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2739,28.2739,32552,0
000000186632.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111111111,0.937500,0,28.2739,28.9338,34238,0
000000186632.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111111111,0.906250,0,28.2739,28.0856,33992,0
000000186632.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110000000101001011011111111,0.843750,0,28.2739,27.5632,34846,0
000000186632.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2739,26.9751,32726,0
000000186632.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.2739,24.3109,33614,0
000000186632.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.2739,24.3002,34240,0
000000186632.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001001101101011111011101,0.937500,0,28.2739,11.4222,55303,0
000000201775.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1981,28.1981,33217,0
000000201775.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111111111,0.937500,0,28.1981,29.7900,35120,0
000000201775.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.1981,29.1517,35203,0
000000201775.png,0.2500,jpeg_q20,01000110001000101101011111111101,01110110000000100001001011111101,0.781250,0,28.1981,28.7199,35379,0
000000201775.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1981,28.4417,33143,0
000000201775.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1981,27.2931,33919,0
000000201775.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.1981,27.3315,35173,0
000000201775.png,0.2500,center_crop_0.5,01000110001000101101011111111101,00000110001000101101010111001101,0.875000,0,28.1981,12.0207,52092,0
000000205647.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1749,28.1749,33060,0
000000205647.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110000000101101011111111111,0.906250,0,28.1749,28.9685,34993,0
000000205647.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.1749,28.2343,35600,0
000000205647.png,0.2500,jpeg_q20,01000110001000101101011111111101,01110110000000101001011011111111,0.812500,0,28.1749,27.6962,34012,0
