image,scheme,scaling_w,area_percent,block_count,coding,attack,payload,decoded_payload,payload_accuracy,payload_success,full_message,predicted_full_message,full_bit_accuracy,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000098392.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.6447,10.3006,12684,0
000000098392.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.6447,15.0601,20733,0
000000098392.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001000011,0.900000,0,10010010111000001111010000001001,10010000111000001111010000001001,0.968750,12.6447,15.2972,20721,0
000000098392.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001000010,0.800000,0,10010010111000001111010000001001,10010000101000001111010000001001,0.937500,12.6447,16.2440,20857,0
000000098520.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.2771,12.2771,20142,0
000000098520.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.2771,9.5731,1456,0
000000098520.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.2771,12.0741,14161,0
000000098520.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.2771,15.1510,20956,0
000000098520.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.2771,15.3981,20979,0
000000098520.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.2771,17.0043,20714,0
000000107554.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.4000,12.4000,20533,0
000000107554.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.000000,12.4000,9.2599,0,1
000000107554.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.000000,12.4000,10.0072,0,1
000000107554.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.4000,14.9841,21208,0
000000107554.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001010,0.900000,0,10010010111000001111010000001001,10010010101000001111010000001011,0.937500,12.4000,15.2088,21148,0
000000107554.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001001010,0.900000,0,10010010111000001111010000001001,10010010101000001111010000001001,0.968750,12.4000,16.5578,22015,0
000000121673.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.1052,12.1052,20287,0
000000121673.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.000000,12.1052,8.6363,1,1
000000121673.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.1052,9.4600,13858,0
000000121673.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.1052,15.0232,20788,0
000000121673.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1101001011,0.900000,0,10010010111000001111010000001001,11010010111000001111010000001001,0.968750,12.1052,15.3165,21106,0
000000121673.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1101001010,0.800000,0,10010010111000001111010000001001,11010010101000001111010000001001,0.937500,12.1052,16.9417,20560,0
000000134322.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1000001011,0.900000,0,10010010111000001111010000001001,10000010111000001011010000001001,0.937500,12.8465,12.8465,20348,0
000000134322.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.000000,12.8465,7.7647,0,1
000000134322.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.8465,11.1057,14938,0
000000134322.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.8465,15.0722,20621,0
000000134322.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001010,0.900000,0,10010010111000001111010000001001,10010010101000001111010000001001,0.968750,12.8465,15.3553,20549,0
000000134322.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001001010,0.900000,0,10010010111000001111010000001001,10010010101000001111010000001001,0.968750,12.8465,16.4321,20803,0
000000150649.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,11.9782,11.9782,20617,0
000000150649.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.000000,11.9782,9.5919,0,1
000000150649.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,11.9782,10.1707,12150,0
000000150649.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,11.9782,14.9629,20997,0
000000150649.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1101001011,0.900000,0,10010010111000001111010000001001,11010010111000001111010000001001,0.968750,11.9782,15.2500,20680,0
000000150649.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001001010,0.900000,0,10010010111000001111010000001001,10010010101000001111010000001001,0.968750,11.9782,16.9294,21192,0
000000154000.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.5752,12.5752,20382,0
000000154000.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.5752,7.5261,323,0
000000154000.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.5752,7.9262,12769,0
000000154000.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.5752,14.9835,20752,0
000000154000.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1101001010,0.800000,0,10010010111000001111010000001001,11010010101000001111010000001001,0.937500,12.5752,15.2114,20542,0
000000154000.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001001010,0.900000,0,10010010111000001111010000001001,10010010101000001111010000001001,0.968750,12.5752,16.2477,21220,0
000000186632.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.2004,12.2004,20360,0
000000186632.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.000000,12.2004,7.7193,0,1
000000186632.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.2004,9.6436,1297,0
000000186632.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.2004,15.0719,20868,0
000000186632.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1101001010,0.800000,0,10010010111000001111010000001001,11010010101000001111010000001001,0.937500,12.2004,15.3605,20613,0
000000186632.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001011,0.968750,12.2004,16.8530,21726,0
000000201775.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001001,0.900000,0,10010010111000001111010000001001,10010010011000001011010000001001,0.937500,12.1904,12.1904,20809,0
000000201775.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000010000000000000010,0.531250,12.1904,9.2784,5436,0
000000201775.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0010000000,0.400000,0,10010010111000001111010000001001,00100000000000100001000000000000,0.562500,12.1904,10.1423,13145,0
000000201775.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.1904,15.0966,21895,0
000000201775.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.1904,15.3930,21215,0
000000201775.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001001001,0.900000,0,10010010111000001111010000001001,10010010011000001111010000001001,0.968750,12.1904,17.1017,21675,0
000000205647.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,11.9988,11.9988,20437,0
000000205647.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.000000,11.9988,9.1820,0,1
000000205647.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,11.9988,9.6893,6669,0
000000205647.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,11.9988,15.0216,20864,0
000000205647.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1101001011,0.900000,0,10010010111000001111010000001001,11010010111000001111010000001001,0.968750,11.9988,15.2698,21167,0
000000205647.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1101001010,0.800000,0,10010010111000001111010000001001,11010010101000001111010000001001,0.937500,11.9988,16.5063,20886,0
000000207306.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.4181,12.4181,20450,0
000000207306.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.4181,8.6995,517,0
000000207306.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.4181,8.2776,10390,0
000000207306.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.4181,15.1719,21318,0
000000207306.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001010,0.900000,0,10010010111000001111010000001001,10010010101000001111010000001001,0.968750,12.4181,15.3923,21165,0
000000207306.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1101001010,0.800000,0,10010010111000001111010000001001,11010010101000001111010000001001,0.937500,12.4181,16.7778,21821,0
000000210299.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.2052,12.2052,20478,0
000000210299.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.2052,9.8699,173,0
