image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000219440.png,none,multi_scale,1.000000,1,10.4322,10.4322,1.00
000000219440.png,center_crop_0.5,single_scale,0.500000,0,10.4322,7.3576,1.0
000000219440.png,center_crop_0.5,multi_scale,1.000000,1,10.4322,7.3576,0.50
000000219440.png,center_crop_0.75,single_scale,0.531250,0,10.4322,8.5448,1.0
000000219440.png,center_crop_0.75,multi_scale,1.000000,1,10.4322,8.5448,0.75
000000219440.png,random_crop_0.5,single_scale,0.500000,0,10.4322,7.1893,1.0
000000219440.png,random_crop_0.5,multi_scale,0.843750,0,10.4322,7.1893,0.50
000000219440.png,jpeg_q30,single_scale,1.000000,1,10.4322,13.0411,1.0
000000219440.png,jpeg_q30,multi_scale,1.000000,1,10.4322,13.0411,1.00
000000230166.png,none,single_scale,1.000000,1,10.1357,10.1357,1.0
000000230166.png,none,multi_scale,1.000000,1,10.1357,10.1357,1.00
000000230166.png,center_crop_0.5,single_scale,0.500000,0,10.1357,7.3436,1.0
000000230166.png,center_crop_0.5,multi_scale,1.000000,1,10.1357,7.3436,0.50
000000230166.png,center_crop_0.75,single_scale,0.593750,0,10.1357,8.4037,1.0
000000230166.png,center_crop_0.75,multi_scale,1.000000,1,10.1357,8.4037,0.75
000000230166.png,random_crop_0.5,single_scale,0.343750,0,10.1357,7.9270,1.0
000000230166.png,random_crop_0.5,multi_scale,0.750000,0,10.1357,7.9270,0.50
000000230166.png,jpeg_q30,single_scale,1.000000,1,10.1357,12.9970,1.0
000000230166.png,jpeg_q30,multi_scale,1.000000,1,10.1357,12.9970,1.00
000000249180.png,none,single_scale,1.000000,1,10.1005,10.1005,1.0
000000249180.png,none,multi_scale,1.000000,1,10.1005,10.1005,1.00
000000249180.png,center_crop_0.5,single_scale,0.500000,0,10.1005,6.7880,1.0
000000249180.png,center_crop_0.5,multi_scale,1.000000,1,10.1005,6.7880,0.50
000000249180.png,center_crop_0.75,single_scale,0.500000,0,10.1005,7.8116,1.0
000000249180.png,center_crop_0.75,multi_scale,1.000000,1,10.1005,7.8116,0.75
000000249180.png,random_crop_0.5,single_scale,0.500000,0,10.1005,8.8445,1.0
000000249180.png,random_crop_0.5,multi_scale,0.500000,0,10.1005,8.8445,1.00
000000249180.png,jpeg_q30,single_scale,1.000000,1,10.1005,12.7686,1.0
000000249180.png,jpeg_q30,multi_scale,1.000000,1,10.1005,12.7686,1.00
