attack,mean_bit_accuracy,message_success_rate,num_samples,method
rotate_16,0.953125,0.0000,4,angle_scan
rotate_160,1.000000,1.0000,4,angle_scan
rotate_161,0.984375,0.5000,2,angle_scan
rotate_162,0.947917,0.0000,3,angle_scan
rotate_163,0.937500,0.0000,1,angle_scan
rotate_164,0.937500,0.0000,6,angle_scan
rotate_166,0.875000,0.0000,1,angle_scan
rotate_167,0.875000,0.0000,3,angle_scan
rotate_168,0.890625,0.0000,2,angle_scan
rotate_169,0.791667,0.0000,6,angle_scan
rotate_17,0.968750,0.0000,1,angle_scan
rotate_170,0.765625,0.0000,2,angle_scan
rotate_171,0.781250,0.0000,2,angle_scan
rotate_172,0.793750,0.0000,5,angle_scan
rotate_173,0.812500,0.0000,2,angle_scan
rotate_174,0.875000,0.0000,2,angle_scan
rotate_175,0.885417,0.0000,3,angle_scan
rotate_176,0.802083,0.0000,3,angle_scan
rotate_177,0.895833,0.0000,3,angle_scan
rotate_178,0.962500,0.2000,5,angle_scan
rotate_179,1.000000,1.0000,2,angle_scan
rotate_18,1.000000,1.0000,1,angle_scan
rotate_180,1.000000,1.0000,3,angle_scan
rotate_181,0.992188,0.7500,4,angle_scan
rotate_182,0.953125,0.5000,2,angle_scan
rotate_183,0.916667,0.0000,3,angle_scan
rotate_184,0.843750,0.0000,1,angle_scan
rotate_185,0.906250,0.0000,3,angle_scan
rotate_186,0.843750,0.0000,1,angle_scan
rotate_187,0.887500,0.0000,5,angle_scan
rotate_188,0.843750,0.0000,1,angle_scan
rotate_189,0.833333,0.0000,3,angle_scan
rotate_19,0.979167,0.6667,3,angle_scan
rotate_190,0.812500,0.0000,2,angle_scan
rotate_191,0.800000,0.0000,5,angle_scan
rotate_192,0.864583,0.0000,3,angle_scan
rotate_193,0.906250,0.0000,2,angle_scan
rotate_194,0.890625,0.0000,2,angle_scan
rotate_195,0.906250,0.0000,2,angle_scan
rotate_196,0.921875,0.0000,2,angle_scan
rotate_197,0.953125,0.1667,6,angle_scan
rotate_198,0.968750,0.5000,2,angle_scan
rotate_199,1.000000,1.0000,1,angle_scan
rotate_2,0.937500,0.0000,1,angle_scan
rotate_20,1.000000,1.0000,1,angle_scan
rotate_200,1.000000,1.0000,3,angle_scan
rotate_201,1.000000,1.0000,2,angle_scan
rotate_203,0.937500,0.0000,1,angle_scan
rotate_204,0.953125,0.0000,2,angle_scan
rotate_205,0.937500,0.0000,3,angle_scan
rotate_206,0.906250,0.0000,1,angle_scan
rotate_207,0.843750,0.0000,2,angle_scan
rotate_208,0.812500,0.0000,1,angle_scan
rotate_209,0.796875,0.0000,2,angle_scan
rotate_21,1.000000,1.0000,1,angle_scan
rotate_210,0.750000,0.0000,1,angle_scan
rotate_211,0.843750,0.0000,2,angle_scan
rotate_212,0.812500,0.0000,1,angle_scan
rotate_213,0.890625,0.0000,4,angle_scan
rotate_214,0.910156,0.0000,8,angle_scan
rotate_215,0.916667,0.0000,3,angle_scan
rotate_216,0.921875,0.0000,4,angle_scan
rotate_217,0.937500,0.0000,4,angle_scan
rotate_219,0.979167,0.3333,3,angle_scan
rotate_22,0.947917,0.0000,3,angle_scan
rotate_220,1.000000,1.0000,1,angle_scan
rotate_221,1.000000,1.0000,5,angle_scan
rotate_222,0.955357,0.1429,7,angle_scan
rotate_223,0.958333,0.0000,3,angle_scan
rotate_225,0.924107,0.0000,7,angle_scan
rotate_226,0.937500,0.0000,10,angle_scan
rotate_227,0.864583,0.0000,3,angle_scan
rotate_228,0.835938,0.0000,4,angle_scan
rotate_229,0.781250,0.0000,1,angle_scan
rotate_23,0.937500,0.0000,1,angle_scan
rotate_230,0.770833,0.0000,3,angle_scan
rotate_231,0.875000,0.0000,1,angle_scan
rotate_232,0.808036,0.0000,7,angle_scan
rotate_234,0.906250,0.0000,2,angle_scan
rotate_235,0.927083,0.0000,6,angle_scan
rotate_236,0.937500,0.0000,4,angle_scan
rotate_237,0.937500,0.0000,2,angle_scan
rotate_238,0.947917,0.0000,3,angle_scan
rotate_239,0.968750,0.0000,2,angle_scan
rotate_24,0.937500,0.0000,4,angle_scan
rotate_241,0.989583,0.6667,3,angle_scan
rotate_242,0.937500,0.0000,3,angle_scan
rotate_243,0.937500,0.0000,1,angle_scan
rotate_244,0.937500,0.0000,1,angle_scan
rotate_245,0.921875,0.0000,2,angle_scan
rotate_246,0.937500,0.0000,6,angle_scan
rotate_248,0.843750,0.0000,4,angle_scan
rotate_249,0.812500,0.0000,2,angle_scan
rotate_25,0.937500,0.0000,5,angle_scan
rotate_250,0.773438,0.0000,4,angle_scan
rotate_251,0.804688,0.0000,4,angle_scan
rotate_252,0.828125,0.0000,6,angle_scan
rotate_253,0.856250,0.0000,5,angle_scan
rotate_254,0.885417,0.0000,3,angle_scan
rotate_255,0.921875,0.0000,2,angle_scan
rotate_256,0.912500,0.0000,5,angle_scan
rotate_258,0.968750,0.5000,2,angle_scan
rotate_259,0.937500,0.0000,1,angle_scan
rotate_26,0.937500,0.0000,3,angle_scan
rotate_260,1.000000,1.0000,5,angle_scan
rotate_261,0.979167,0.3333,3,angle_scan
rotate_262,1.000000,1.0000,1,angle_scan
rotate_263,0.942708,0.0000,6,angle_scan
rotate_264,0.968750,0.0000,1,angle_scan
rotate_265,0.906250,0.0000,1,angle_scan
