scheme,scenario,attack,decode_method,mean_source_accuracy,min_source_accuracy,source_success_rate,mean_mask_pixels,mean_composite_psnr,num_source_rows
full_material_s3.0,three_sources_extreme_downsize,none,global_full_canvas,0.000000,0.000000,0.000000,0.0,13.8765,3
full_material_s3.0,three_sources_extreme_downsize,none,localized_resize,0.781250,0.562500,0.000000,65529.7,13.8765,3
full_material_s3.0,three_sources_extreme_downsize,none,oracle_box_raw,0.781250,0.562500,0.000000,65529.7,13.8765,3
full_material_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.000000,0.000000,0.0,13.8765,3
full_material_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,localized_resize,0.666667,0.375000,0.000000,43853.3,13.8765,3
full_material_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.666667,0.375000,0.000000,43853.3,13.8765,3
full_material_s3.0,two_sources_downsize,jpeg_q50,global_full_canvas,0.359375,0.343750,0.000000,429.0,12.8785,2
full_material_s3.0,two_sources_downsize,jpeg_q50,localized_resize,0.984375,0.968750,0.500000,65536.0,12.8785,2
full_material_s3.0,two_sources_downsize,jpeg_q50,oracle_box_raw,0.984375,0.968750,0.500000,65536.0,12.8785,2
full_material_s3.0,two_sources_downsize,jpeg_q70,global_full_canvas,0.359375,0.343750,0.000000,194.0,12.8785,2
full_material_s3.0,two_sources_downsize,jpeg_q70,localized_resize,0.984375,0.968750,0.500000,65536.0,12.8785,2
full_material_s3.0,two_sources_downsize,jpeg_q70,oracle_box_raw,0.984375,0.968750,0.500000,65536.0,12.8785,2
full_material_s3.0,two_sources_downsize,none,global_full_canvas,0.359375,0.343750,0.000000,44.0,12.8785,2
full_material_s3.0,two_sources_downsize,none,localized_resize,0.984375,0.968750,0.500000,65536.0,12.8785,2
full_material_s3.0,two_sources_downsize,none,oracle_box_raw,0.984375,0.968750,0.500000,65536.0,12.8785,2
