image,mask_ratio,attack,bit_accuracy,message_success,psnr_watermarked,psnr_attacked
000000400573.png,0.5,random_crop_0.5,0.531250,0,9.9132,6.7502
000000400573.png,0.5,jpeg_q30,1.000000,1,9.9132,12.9420
000000401250.png,0.5,none,1.000000,1,9.4841,9.4841
000000401250.png,0.5,center_crop_0.5,0.500000,0,9.4841,7.0847
000000401250.png,0.5,center_crop_0.75,0.562500,0,9.4841,7.4933
000000401250.png,0.5,random_crop_0.5,0.531250,0,9.4841,7.3394
000000401250.png,0.5,jpeg_q30,1.000000,1,9.4841,12.7740
000000426372.png,0.5,none,1.000000,1,10.7158,10.7158
000000426372.png,0.5,center_crop_0.5,0.500000,0,10.7158,6.0356
000000426372.png,0.5,center_crop_0.75,0.750000,0,10.7158,6.9515
000000426372.png,0.5,random_crop_0.5,0.500000,0,10.7158,6.8616
000000426372.png,0.5,jpeg_q30,1.000000,1,10.7158,12.9087
000000437351.png,0.5,none,1.000000,1,10.4641,10.4641
000000437351.png,0.5,center_crop_0.5,0.500000,0,10.4641,6.3512
000000437351.png,0.5,center_crop_0.75,0.781250,0,10.4641,6.9353
000000437351.png,0.5,random_crop_0.5,0.468750,0,10.4641,6.3687
000000437351.png,0.5,jpeg_q30,1.000000,1,10.4641,12.7947
000000477805.png,0.5,none,1.000000,1,11.1262,11.1262
000000477805.png,0.5,center_crop_0.5,0.500000,0,11.1262,8.5100
000000477805.png,0.5,center_crop_0.75,0.781250,0,11.1262,8.7077
000000477805.png,0.5,random_crop_0.5,0.406250,0,11.1262,8.4952
000000477805.png,0.5,jpeg_q30,1.000000,1,11.1262,12.7856
000000508730.png,0.5,none,1.000000,1,10.0235,10.0235
000000508730.png,0.5,center_crop_0.5,0.500000,0,10.0235,6.7760
000000508730.png,0.5,center_crop_0.75,0.593750,0,10.0235,7.5940
000000508730.png,0.5,random_crop_0.5,0.500000,0,10.0235,7.5224
000000508730.png,0.5,jpeg_q30,1.000000,1,10.0235,12.8656
000000517056.png,0.5,none,1.000000,1,10.3417,10.3417
000000517056.png,0.5,center_crop_0.5,0.500000,0,10.3417,6.1539
000000517056.png,0.5,center_crop_0.75,0.687500,0,10.3417,6.9005
000000517056.png,0.5,random_crop_0.5,0.500000,0,10.3417,6.6472
000000517056.png,0.5,jpeg_q30,1.000000,1,10.3417,12.9461
000000517687.png,0.5,none,1.000000,1,10.3907,10.3907
000000517687.png,0.5,center_crop_0.5,0.500000,0,10.3907,6.7517
000000517687.png,0.5,center_crop_0.75,0.687500,0,10.3907,7.0278
000000517687.png,0.5,random_crop_0.5,0.375000,0,10.3907,6.9329
000000517687.png,0.5,jpeg_q30,1.000000,1,10.3907,12.9154
000000523957.png,0.5,none,1.000000,1,10.2490,10.2490
000000523957.png,0.5,center_crop_0.5,0.500000,0,10.2490,7.0747
000000523957.png,0.5,center_crop_0.75,0.562500,0,10.2490,7.5731
000000523957.png,0.5,random_crop_0.5,0.437500,0,10.2490,6.8865
000000523957.png,0.5,jpeg_q30,1.000000,1,10.2490,12.9458
000000533145.png,0.5,none,1.000000,1,10.5508,10.5508
000000533145.png,0.5,center_crop_0.5,0.500000,0,10.5508,7.2012
000000533145.png,0.5,center_crop_0.75,0.656250,0,10.5508,7.6071
000000533145.png,0.5,random_crop_0.5,0.625000,0,10.5508,7.5285
000000533145.png,0.5,jpeg_q30,0.968750,0,10.5508,13.1140
000000562243.png,0.5,none,1.000000,1,10.4151,10.4151
000000562243.png,0.5,center_crop_0.5,0.500000,0,10.4151,7.6469
000000562243.png,0.5,center_crop_0.75,0.687500,0,10.4151,8.2021
000000562243.png,0.5,random_crop_0.5,0.531250,0,10.4151,8.1628
000000562243.png,0.5,jpeg_q30,0.968750,0,10.4151,13.0806
000000563470.png,0.5,none,1.000000,1,10.0241,10.0241
000000563470.png,0.5,center_crop_0.5,0.500000,0,10.0241,6.9846
000000563470.png,0.5,center_crop_0.75,0.687500,0,10.0241,7.3492
000000563470.png,0.5,random_crop_0.5,0.500000,0,10.0241,7.3191
000000563470.png,0.5,jpeg_q30,1.000000,1,10.0241,12.8847
