image,mask_ratio,attack,bit_accuracy,message_success,psnr_watermarked,psnr_attacked
000000039405.png,0.5,center_crop_0.75,0.687500,0,10.7925,8.3991
000000039405.png,0.5,random_crop_0.5,0.500000,0,10.7925,10.4576
000000039405.png,0.5,jpeg_q30,1.000000,1,10.7925,13.1201
000000039405.png,0.6,none,1.000000,1,9.9884,9.9884
000000039405.png,0.6,center_crop_0.5,0.500000,0,9.9884,7.7974
000000039405.png,0.6,center_crop_0.75,0.843750,0,9.9884,7.8915
000000039405.png,0.6,random_crop_0.5,0.562500,0,9.9884,8.6194
000000039405.png,0.6,jpeg_q30,1.000000,1,9.9884,12.3417
000000039405.png,0.7,none,1.000000,1,9.3052,9.3052
000000039405.png,0.7,center_crop_0.5,0.500000,0,9.3052,7.7974
000000039405.png,0.7,center_crop_0.75,0.843750,0,9.3052,7.8915
000000039405.png,0.7,random_crop_0.5,0.625000,0,9.3052,8.2262
000000039405.png,0.7,jpeg_q30,1.000000,1,9.3052,11.6811
000000039405.png,0.8,none,1.000000,1,8.7794,8.7794
000000039405.png,0.8,center_crop_0.5,0.500000,0,8.7794,7.7974
000000039405.png,0.8,center_crop_0.75,0.843750,0,8.7794,7.8915
000000039405.png,0.8,random_crop_0.5,0.531250,0,8.7794,7.8291
000000039405.png,0.8,jpeg_q30,1.000000,1,8.7794,11.1067
000000039405.png,0.9,none,1.000000,1,8.2386,8.2386
000000039405.png,0.9,center_crop_0.5,0.500000,0,8.2386,7.7974
000000039405.png,0.9,center_crop_0.75,0.843750,0,8.2386,7.8915
000000039405.png,0.9,random_crop_0.5,0.531250,0,8.2386,7.7484
000000039405.png,0.9,jpeg_q30,1.000000,1,8.2386,10.5272
000000039405.png,1.0,none,1.000000,1,7.7730,7.7730
000000039405.png,1.0,center_crop_0.5,0.500000,0,7.7730,7.7974
000000039405.png,1.0,center_crop_0.75,0.843750,0,7.7730,7.8915
000000039405.png,1.0,random_crop_0.5,0.593750,0,7.7730,7.8131
000000039405.png,1.0,jpeg_q30,1.000000,1,7.7730,9.9959
000000075612.png,0.5,none,1.000000,1,10.1194,10.1194
000000075612.png,0.5,center_crop_0.5,0.500000,0,10.1194,6.9649
000000075612.png,0.5,center_crop_0.75,0.687500,0,10.1194,7.6104
000000075612.png,0.5,random_crop_0.5,0.531250,0,10.1194,6.9951
000000075612.png,0.5,jpeg_q30,1.000000,1,10.1194,12.9411
000000075612.png,0.6,none,1.000000,1,9.3065,9.3065
000000075612.png,0.6,center_crop_0.5,0.500000,0,9.3065,6.9649
000000075612.png,0.6,center_crop_0.75,0.687500,0,9.3065,7.2023
000000075612.png,0.6,random_crop_0.5,0.468750,0,9.3065,7.0215
000000075612.png,0.6,jpeg_q30,1.000000,1,9.3065,12.1970
000000075612.png,0.7,none,1.000000,1,8.5902,8.5902
000000075612.png,0.7,center_crop_0.5,0.500000,0,8.5902,6.9649
000000075612.png,0.7,center_crop_0.75,0.687500,0,8.5902,7.2023
000000075612.png,0.7,random_crop_0.5,0.531250,0,8.5902,6.8588
000000075612.png,0.7,jpeg_q30,1.000000,1,8.5902,11.5108
000000075612.png,0.8,none,1.000000,1,8.0260,8.0260
000000075612.png,0.8,center_crop_0.5,0.500000,0,8.0260,6.9649
000000075612.png,0.8,center_crop_0.75,0.687500,0,8.0260,7.2023
000000075612.png,0.8,random_crop_0.5,0.500000,0,8.0260,6.7655
000000075612.png,0.8,jpeg_q30,1.000000,1,8.0260,10.9437
000000075612.png,0.9,none,1.000000,1,7.4979,7.4979
000000075612.png,0.9,center_crop_0.5,0.500000,0,7.4979,6.9649
000000075612.png,0.9,center_crop_0.75,0.687500,0,7.4979,7.2023
000000075612.png,0.9,random_crop_0.5,0.437500,0,7.4979,7.0584
000000075612.png,0.9,jpeg_q30,1.000000,1,7.4979,10.3941
000000075612.png,1.0,none,1.000000,1,7.0303,7.0303
000000075612.png,1.0,center_crop_0.5,0.500000,0,7.0303,6.9649
000000075612.png,1.0,center_crop_0.75,0.687500,0,7.0303,7.2023
000000075612.png,1.0,random_crop_0.5,0.500000,0,7.0303,7.2560
000000075612.png,1.0,jpeg_q30,1.000000,1,7.0303,9.8531
000000083531.png,0.5,none,1.000000,1,9.8895,9.8895
000000083531.png,0.5,center_crop_0.5,0.500000,0,9.8895,6.6866
000000083531.png,0.5,center_crop_0.75,0.656250,0,9.8895,7.1747
000000083531.png,0.5,random_crop_0.5,0.468750,0,9.8895,7.2200
000000083531.png,0.5,jpeg_q30,1.000000,1,9.8895,12.8322
000000083531.png,0.6,none,1.000000,1,9.1497,9.1497
000000083531.png,0.6,center_crop_0.5,0.500000,0,9.1497,6.6866
000000083531.png,0.6,center_crop_0.75,0.750000,0,9.1497,6.8371
000000083531.png,0.6,random_crop_0.5,0.406250,0,9.1497,6.9726
000000083531.png,0.6,jpeg_q30,1.000000,1,9.1497,12.1051
000000083531.png,0.7,none,1.000000,1,8.5061,8.5061
000000083531.png,0.7,center_crop_0.5,0.500000,0,8.5061,6.6866
000000083531.png,0.7,center_crop_0.75,0.750000,0,8.5061,6.8371
000000083531.png,0.7,random_crop_0.5,0.437500,0,8.5061,7.1687
000000083531.png,0.7,jpeg_q30,1.000000,1,8.5061,11.4437
000000083531.png,0.8,none,1.000000,1,7.9774,7.9774
000000083531.png,0.8,center_crop_0.5,0.500000,0,7.9774,6.6866
000000083531.png,0.8,center_crop_0.75,0.750000,0,7.9774,6.8371
000000083531.png,0.8,random_crop_0.5,0.531250,0,7.9774,7.1291
000000083531.png,0.8,jpeg_q30,1.000000,1,7.9774,10.8963
000000083531.png,0.9,none,1.000000,1,7.4725,7.4725
000000083531.png,0.9,center_crop_0.5,0.500000,0,7.4725,6.6866
000000083531.png,0.9,center_crop_0.75,0.750000,0,7.4725,6.8371
000000083531.png,0.9,random_crop_0.5,0.500000,0,7.4725,6.1536
000000083531.png,0.9,jpeg_q30,1.000000,1,7.4725,10.3557
000000083531.png,1.0,none,1.000000,1,7.0123,7.0123
000000083531.png,1.0,center_crop_0.5,0.500000,0,7.0123,6.6866
000000083531.png,1.0,center_crop_0.75,0.750000,0,7.0123,6.8371
000000083531.png,1.0,random_crop_0.5,0.500000,0,7.0123,7.0043
000000083531.png,1.0,jpeg_q30,1.000000,1,7.0123,9.8392
000000088848.png,0.5,none,1.000000,1,10.0586,10.0586
000000088848.png,0.5,center_crop_0.5,0.500000,0,10.0586,6.1698
000000088848.png,0.5,center_crop_0.75,0.593750,0,10.0586,6.4221
000000088848.png,0.5,random_crop_0.5,0.500000,0,10.0586,7.0809
000000088848.png,0.5,jpeg_q30,1.000000,1,10.0586,12.9259
000000088848.png,0.6,none,1.000000,1,9.2772,9.2772
000000088848.png,0.6,center_crop_0.5,0.500000,0,9.2772,6.1698
000000088848.png,0.6,center_crop_0.75,0.656250,0,9.2772,6.2858
000000088848.png,0.6,random_crop_0.5,0.500000,0,9.2772,6.6973
000000088848.png,0.6,jpeg_q30,1.000000,1,9.2772,12.1878
000000088848.png,0.7,none,1.000000,1,8.6185,8.6185
000000088848.png,0.7,center_crop_0.5,0.500000,0,8.6185,6.1698
000000088848.png,0.7,center_crop_0.75,0.656250,0,8.6185,6.2858
000000088848.png,0.7,random_crop_0.5,0.531250,0,8.6185,6.1039
000000088848.png,0.7,jpeg_q30,1.000000,1,8.6185,11.5053
000000088848.png,0.8,none,1.000000,1,8.0663,8.0663
000000088848.png,0.8,center_crop_0.5,0.500000,0,8.0663,6.1698
000000088848.png,0.8,center_crop_0.75,0.656250,0,8.0663,6.2858
000000088848.png,0.8,random_crop_0.5,0.437500,0,8.0663,6.0553
000000088848.png,0.8,jpeg_q30,1.000000,1,8.0663,10.9475
000000088848.png,0.9,none,1.000000,1,7.6017,7.6017
000000088848.png,0.9,center_crop_0.5,0.500000,0,7.6017,6.1698
000000088848.png,0.9,center_crop_0.75,0.656250,0,7.6017,6.2858
000000088848.png,0.9,random_crop_0.5,0.500000,0,7.6017,6.1582
000000088848.png,0.9,jpeg_q30,1.000000,1,7.6017,10.4165
000000088848.png,1.0,none,1.000000,1,7.1902,7.1902
000000088848.png,1.0,center_crop_0.5,0.500000,0,7.1902,6.1698
000000088848.png,1.0,center_crop_0.75,0.656250,0,7.1902,6.2858
000000088848.png,1.0,random_crop_0.5,0.500000,0,7.1902,6.0766
000000088848.png,1.0,jpeg_q30,1.000000,1,7.1902,9.8134
000000089648.png,0.5,none,1.000000,1,10.1777,10.1777
000000089648.png,0.5,center_crop_0.5,0.500000,0,10.1777,6.9120
000000089648.png,0.5,center_crop_0.75,0.687500,0,10.1777,7.0956
000000089648.png,0.5,random_crop_0.5,0.437500,0,10.1777,7.8251
000000089648.png,0.5,jpeg_q30,1.000000,1,10.1777,12.9955
000000089648.png,0.6,none,1.000000,1,9.3776,9.3776
000000089648.png,0.6,center_crop_0.5,0.500000,0,9.3776,6.9120
000000089648.png,0.6,center_crop_0.75,0.750000,0,9.3776,6.8301
