image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000161879.png,none,single_scale,1.000000,1,10.3841,10.3841,1.0
000000161879.png,center_crop_0.5,single_scale,0.500000,0,10.3841,7.0527,1.0
000000161879.png,center_crop_0.75,single_scale,0.531250,0,10.3841,8.0424,1.0
000000161879.png,random_crop_0.5,single_scale,0.531250,0,10.3841,7.0734,1.0
000000161879.png,jpeg_q30,single_scale,1.000000,1,10.3841,13.0987,1.0
000000161925.png,none,single_scale,1.000000,1,10.4514,10.4514,1.0
000000161925.png,center_crop_0.5,single_scale,0.500000,0,10.4514,7.2901,1.0
000000161925.png,center_crop_0.75,single_scale,0.531250,0,10.4514,8.0938,1.0
000000161925.png,random_crop_0.5,single_scale,0.500000,0,10.4514,8.7737,1.0
000000161925.png,jpeg_q30,single_scale,1.000000,1,10.4514,12.9634,1.0
000000161978.png,none,single_scale,1.000000,1,9.9210,9.9210,1.0
000000161978.png,center_crop_0.5,single_scale,0.500000,0,9.9210,6.8557,1.0
000000161978.png,center_crop_0.75,single_scale,0.531250,0,9.9210,7.6712,1.0
000000161978.png,random_crop_0.5,single_scale,0.500000,0,9.9210,8.0182,1.0
000000161978.png,jpeg_q30,single_scale,1.000000,1,9.9210,12.8600,1.0
000000162035.png,none,single_scale,1.000000,1,10.1537,10.1537,1.0
000000162035.png,center_crop_0.5,single_scale,0.500000,0,10.1537,6.9216,1.0
000000162035.png,center_crop_0.75,single_scale,0.531250,0,10.1537,8.1047,1.0
000000162035.png,random_crop_0.5,single_scale,0.500000,0,10.1537,8.9514,1.0
000000162035.png,jpeg_q30,single_scale,1.000000,1,10.1537,13.1012,1.0
000000162092.png,none,single_scale,1.000000,1,10.7697,10.7697,1.0
000000162092.png,center_crop_0.5,single_scale,0.500000,0,10.7697,7.5879,1.0
000000162092.png,center_crop_0.75,single_scale,0.500000,0,10.7697,8.0893,1.0
000000162092.png,random_crop_0.5,single_scale,0.468750,0,10.7697,8.6606,1.0
000000162092.png,jpeg_q30,single_scale,1.000000,1,10.7697,12.9293,1.0
