image,scheme,tamper,localizer,message,predicted,bit_accuracy,mask_pixels,tamper_coverage,global_precision,global_recall,global_f1,global_iou,covered_precision,covered_recall,covered_f1,covered_iou,psnr_watermarked,psnr_tampered
000000022705.png,single_center_50pct,remove_center_25,prob_drop,00100010111111010000001000111101,00100010011111010000001000111101,0.968750,18523,1.000000,0.984427,0.995422,0.989894,0.979990,0.984427,0.995422,0.989894,0.979990,10.0638,13.0206
000000022705.png,single_center_50pct,remove_center_40,expected_missing,00100010111111010000001000111101,00100010011111010000001000011101,0.937500,9490,1.000000,0.999689,0.980453,0.989977,0.980154,0.999689,0.980453,0.989977,0.980154,10.0638,16.8924
000000022705.png,single_center_50pct,remove_center_40,clean_missing,00100010111111010000001000111101,00100010011111010000001000011101,0.937500,9490,1.000000,0.997287,0.980453,0.988798,0.977844,0.997287,0.980453,0.988798,0.977844,10.0638,16.8924
000000022705.png,single_center_50pct,remove_center_40,prob_drop,00100010111111010000001000111101,00100010011111010000001000011101,0.937500,9490,1.000000,0.995045,0.994665,0.994854,0.989763,0.995045,0.994665,0.994854,0.989763,10.0638,16.8924
000000022705.png,single_center_50pct,remove_top_left_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25874,0.505432,0.991363,0.504395,0.668608,0.502188,0.991363,0.997947,0.994644,0.989345,10.0638,11.2916
000000022705.png,single_center_50pct,remove_top_left_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25874,0.537476,0.974823,0.536438,0.692047,0.529107,0.974823,0.998069,0.986309,0.972988,10.0638,11.2916
000000022705.png,single_center_50pct,remove_top_left_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25874,0.539001,0.955584,0.538391,0.688737,0.525247,0.955584,0.998868,0.976746,0.954550,10.0638,11.2916
000000022705.png,single_center_50pct,remove_bottom_right_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25969,0.505432,0.994464,0.504333,0.669258,0.502921,0.994464,0.997826,0.996142,0.992314,10.0638,11.4017
000000022705.png,single_center_50pct,remove_bottom_right_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25969,0.534912,0.975680,0.533813,0.690074,0.526804,0.975680,0.997946,0.986687,0.973725,10.0638,11.4017
000000022705.png,single_center_50pct,remove_bottom_right_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25969,0.538757,0.964993,0.538391,0.691165,0.528077,0.964993,0.999320,0.981856,0.964360,10.0638,11.4017
000000022705.png,single_center_50pct,black_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34754,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.0638,11.0325
000000022705.png,single_center_50pct,black_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34754,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.0638,11.0325
000000022705.png,single_center_50pct,black_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34754,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.0638,11.0325
000000022705.png,distributed_q30_5block,remove_center_25,expected_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16001,0.234619,0.995339,0.234619,0.379729,0.234362,0.995339,1.000000,0.997664,0.995339,12.5886,13.5006
000000022705.png,distributed_q30_5block,remove_center_25,clean_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16001,0.240417,0.982784,0.240417,0.386328,0.239409,0.982784,1.000000,0.991317,0.982784,12.5886,13.5006
000000022705.png,distributed_q30_5block,remove_center_25,prob_drop,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16001,0.243286,0.992283,0.243286,0.390765,0.242827,0.992283,1.000000,0.996126,0.992283,12.5886,13.5006
000000022705.png,distributed_q30_5block,remove_center_40,expected_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,14987,0.185490,0.981280,0.181756,0.306703,0.181128,0.981280,0.979869,0.980573,0.961887,12.5886,13.7943
000000022705.png,distributed_q30_5block,remove_center_40,clean_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,14987,0.189567,0.968620,0.185833,0.311838,0.184721,0.968620,0.980302,0.974425,0.950127,12.5886,13.7943
000000022705.png,distributed_q30_5block,remove_center_40,prob_drop,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,14987,0.193378,0.963696,0.191168,0.319046,0.189801,0.963696,0.988571,0.975975,0.953078,12.5886,13.7943
000000022705.png,distributed_q30_5block,remove_top_left_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14812,0.300903,0.985720,0.299133,0.458981,0.297843,0.985720,0.994118,0.989901,0.980004,12.5886,13.9210
000000022705.png,distributed_q30_5block,remove_top_left_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14812,0.309021,0.973130,0.307251,0.467041,0.304666,0.973130,0.994272,0.983587,0.967705,12.5886,13.9210
000000022705.png,distributed_q30_5block,remove_top_left_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14812,0.310974,0.964699,0.310242,0.469496,0.306759,0.964699,0.997645,0.980895,0.962507,12.5886,13.9210
000000022705.png,distributed_q30_5block,remove_bottom_right_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14889,0.300903,0.985764,0.291626,0.450096,0.290403,0.985764,0.969168,0.977395,0.955791,12.5886,13.7932
