image,attack,method,bit_accuracy,message_success
000000219440.png,flip_v,fourier,0.500000,0
000000219440.png,rotate_45_crop_50,fourier,0.406250,0
000000230166.png,none,fourier,1.000000,1
000000230166.png,rotate_17,fourier,0.531250,0
000000230166.png,rotate_23,fourier,0.500000,0
000000230166.png,rotate_38,fourier,0.468750,0
000000230166.png,rotate_52,fourier,0.406250,0
000000230166.png,rotate_73,fourier,0.500000,0
000000230166.png,rotate_90,fourier,0.406250,0
000000230166.png,rotate_137,fourier,0.500000,0
000000230166.png,rotate_180,fourier,1.000000,1
000000230166.png,flip_h,fourier,0.593750,0
000000230166.png,flip_v,fourier,0.500000,0
000000230166.png,rotate_45_crop_50,fourier,0.406250,0
000000249180.png,none,fourier,1.000000,1
000000249180.png,rotate_17,fourier,0.500000,0
000000249180.png,rotate_23,fourier,0.500000,0
000000249180.png,rotate_38,fourier,0.531250,0
000000249180.png,rotate_52,fourier,0.500000,0
000000249180.png,rotate_73,fourier,0.500000,0
000000249180.png,rotate_90,fourier,0.437500,0
000000249180.png,rotate_137,fourier,0.500000,0
000000249180.png,rotate_180,fourier,1.000000,1
000000249180.png,flip_h,fourier,0.593750,0
000000249180.png,flip_v,fourier,0.531250,0
000000249180.png,rotate_45_crop_50,fourier,0.437500,0
000000260657.png,none,fourier,1.000000,1
000000260657.png,rotate_17,fourier,0.500000,0
000000260657.png,rotate_23,fourier,0.500000,0
000000260657.png,rotate_38,fourier,0.500000,0
000000260657.png,rotate_52,fourier,0.500000,0
000000260657.png,rotate_73,fourier,0.500000,0
000000260657.png,rotate_90,fourier,0.406250,0
000000260657.png,rotate_137,fourier,0.500000,0
000000260657.png,rotate_180,fourier,1.000000,1
000000260657.png,flip_h,fourier,0.656250,0
000000260657.png,flip_v,fourier,0.500000,0
000000260657.png,rotate_45_crop_50,fourier,0.500000,0
000000262938.png,none,fourier,1.000000,1
000000262938.png,rotate_17,fourier,0.531250,0
000000262938.png,rotate_23,fourier,0.500000,0
000000262938.png,rotate_38,fourier,0.500000,0
000000262938.png,rotate_52,fourier,0.500000,0
000000262938.png,rotate_73,fourier,0.375000,0
000000262938.png,rotate_90,fourier,0.406250,0
000000262938.png,rotate_137,fourier,0.500000,0
000000262938.png,rotate_180,fourier,1.000000,1
000000262938.png,flip_h,fourier,0.593750,0
000000262938.png,flip_v,fourier,0.500000,0
000000262938.png,rotate_45_crop_50,fourier,0.500000,0
000000263299.png,none,fourier,1.000000,1
000000263299.png,rotate_17,fourier,0.500000,0
000000263299.png,rotate_23,fourier,0.500000,0
000000263299.png,rotate_38,fourier,0.500000,0
000000263299.png,rotate_52,fourier,0.500000,0
000000263299.png,rotate_73,fourier,0.406250,0
000000263299.png,rotate_90,fourier,0.406250,0
000000263299.png,rotate_137,fourier,0.500000,0
000000263299.png,rotate_180,fourier,1.000000,1
000000263299.png,flip_h,fourier,0.562500,0
000000263299.png,flip_v,fourier,0.531250,0
000000263299.png,rotate_45_crop_50,fourier,0.500000,0
000000319617.png,none,fourier,1.000000,1
000000319617.png,rotate_17,fourier,0.531250,0
000000319617.png,rotate_23,fourier,0.500000,0
000000319617.png,rotate_38,fourier,0.531250,0
000000319617.png,rotate_52,fourier,0.500000,0
000000319617.png,rotate_73,fourier,0.406250,0
000000319617.png,rotate_90,fourier,0.406250,0
000000319617.png,rotate_137,fourier,0.500000,0
000000319617.png,rotate_180,fourier,1.000000,1
000000319617.png,flip_h,fourier,0.625000,0
000000319617.png,flip_v,fourier,0.531250,0
000000319617.png,rotate_45_crop_50,fourier,0.500000,0
000000322895.png,none,fourier,1.000000,1
000000322895.png,rotate_17,fourier,0.500000,0
000000322895.png,rotate_23,fourier,0.500000,0
000000322895.png,rotate_38,fourier,0.500000,0
000000322895.png,rotate_52,fourier,0.500000,0
000000322895.png,rotate_73,fourier,0.406250,0
000000322895.png,rotate_90,fourier,0.406250,0
000000322895.png,rotate_137,fourier,0.500000,0
000000322895.png,rotate_180,fourier,1.000000,1
000000322895.png,flip_h,fourier,0.656250,0
000000322895.png,flip_v,fourier,0.468750,0
000000322895.png,rotate_45_crop_50,fourier,0.500000,0
000000326128.png,none,fourier,1.000000,1
000000326128.png,rotate_17,fourier,0.531250,0
000000326128.png,rotate_23,fourier,0.500000,0
000000326128.png,rotate_38,fourier,0.500000,0
000000326128.png,rotate_52,fourier,0.437500,0
000000326128.png,rotate_73,fourier,0.406250,0
000000326128.png,rotate_90,fourier,0.437500,0
000000326128.png,rotate_137,fourier,0.500000,0
000000326128.png,rotate_180,fourier,1.000000,1
000000326128.png,flip_h,fourier,0.656250,0
000000326128.png,flip_v,fourier,0.562500,0
000000326128.png,rotate_45_crop_50,fourier,0.406250,0
000000341681.png,none,fourier,1.000000,1
000000341681.png,rotate_17,fourier,0.500000,0
000000341681.png,rotate_23,fourier,0.500000,0
000000341681.png,rotate_38,fourier,0.500000,0
000000341681.png,rotate_52,fourier,0.437500,0
000000341681.png,rotate_73,fourier,0.437500,0
000000341681.png,rotate_90,fourier,0.406250,0
000000341681.png,rotate_137,fourier,0.500000,0
000000341681.png,rotate_180,fourier,1.000000,1
000000341681.png,flip_h,fourier,0.625000,0
000000341681.png,flip_v,fourier,0.562500,0
000000341681.png,rotate_45_crop_50,fourier,0.437500,0
000000358427.png,none,fourier,1.000000,1
000000358427.png,rotate_17,fourier,0.531250,0
000000358427.png,rotate_23,fourier,0.500000,0
000000358427.png,rotate_38,fourier,0.500000,0
000000358427.png,rotate_52,fourier,0.468750,0
000000358427.png,rotate_73,fourier,0.500000,0
000000358427.png,rotate_90,fourier,0.406250,0
000000358427.png,rotate_137,fourier,0.500000,0
000000358427.png,rotate_180,fourier,1.000000,1
000000358427.png,flip_h,fourier,0.687500,0
000000358427.png,flip_v,fourier,0.500000,0
000000358427.png,rotate_45_crop_50,fourier,0.437500,0
000000360137.png,none,fourier,1.000000,1
000000360137.png,rotate_17,fourier,0.500000,0
000000360137.png,rotate_23,fourier,0.500000,0
000000360137.png,rotate_38,fourier,0.468750,0
000000360137.png,rotate_52,fourier,0.500000,0
000000360137.png,rotate_73,fourier,0.406250,0
000000360137.png,rotate_90,fourier,0.406250,0
000000360137.png,rotate_137,fourier,0.500000,0
000000360137.png,rotate_180,fourier,1.000000,1
000000360137.png,flip_h,fourier,0.781250,0
000000360137.png,flip_v,fourier,0.500000,0
000000360137.png,rotate_45_crop_50,fourier,0.437500,0
000000397681.png,none,fourier,1.000000,1
000000397681.png,rotate_17,fourier,0.531250,0
000000397681.png,rotate_23,fourier,0.500000,0
000000397681.png,rotate_38,fourier,0.500000,0
000000397681.png,rotate_52,fourier,0.437500,0
