image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000231747.png,none,multi_scale,1.000000,1,10.2954,10.2954,1.00
000000231747.png,center_crop_0.5,single_scale,0.500000,0,10.2954,6.6907,1.0
000000231747.png,center_crop_0.5,multi_scale,1.000000,1,10.2954,6.6907,0.50
000000231747.png,center_crop_0.75,single_scale,0.531250,0,10.2954,7.3731,1.0
000000231747.png,center_crop_0.75,multi_scale,1.000000,1,10.2954,7.3731,0.75
000000231747.png,random_crop_0.5,single_scale,0.500000,0,10.2954,7.2409,1.0
000000231747.png,random_crop_0.5,multi_scale,0.937500,0,10.2954,7.2409,0.50
000000231747.png,jpeg_q30,single_scale,0.968750,0,10.2954,12.9554,1.0
000000231747.png,jpeg_q30,multi_scale,0.968750,0,10.2954,12.9554,1.00
000000231822.png,none,single_scale,1.000000,1,10.1984,10.1984,1.0
000000231822.png,none,multi_scale,1.000000,1,10.1984,10.1984,1.00
000000231822.png,center_crop_0.5,single_scale,0.500000,0,10.1984,6.4437,1.0
000000231822.png,center_crop_0.5,multi_scale,1.000000,1,10.1984,6.4437,0.50
000000231822.png,center_crop_0.75,single_scale,0.531250,0,10.1984,7.2276,1.0
000000231822.png,center_crop_0.75,multi_scale,1.000000,1,10.1984,7.2276,0.75
000000231822.png,random_crop_0.5,single_scale,0.593750,0,10.1984,7.5283,1.0
000000231822.png,random_crop_0.5,multi_scale,0.625000,0,10.1984,7.5283,0.50
000000231822.png,jpeg_q30,single_scale,1.000000,1,10.1984,12.8623,1.0
000000231822.png,jpeg_q30,multi_scale,1.000000,1,10.1984,12.8623,1.00
000000231831.png,none,single_scale,1.000000,1,10.4463,10.4463,1.0
000000231831.png,none,multi_scale,1.000000,1,10.4463,10.4463,1.00
000000231831.png,center_crop_0.5,single_scale,0.500000,0,10.4463,6.2583,1.0
000000231831.png,center_crop_0.5,multi_scale,1.000000,1,10.4463,6.2583,0.50
000000231831.png,center_crop_0.75,single_scale,0.531250,0,10.4463,7.7311,1.0
000000231831.png,center_crop_0.75,multi_scale,1.000000,1,10.4463,7.7311,0.75
000000231831.png,random_crop_0.5,single_scale,0.531250,0,10.4463,6.7975,1.0
000000231831.png,random_crop_0.5,multi_scale,0.750000,0,10.4463,6.7975,0.50
000000231831.png,jpeg_q30,single_scale,1.000000,1,10.4463,12.8030,1.0
000000231831.png,jpeg_q30,multi_scale,1.000000,1,10.4463,12.8030,1.00
000000231879.png,none,single_scale,1.000000,1,9.9405,9.9405,1.0
000000231879.png,none,multi_scale,1.000000,1,9.9405,9.9405,1.00
000000231879.png,center_crop_0.5,single_scale,0.500000,0,9.9405,7.0398,1.0
000000231879.png,center_crop_0.5,multi_scale,1.000000,1,9.9405,7.0398,0.50
000000231879.png,center_crop_0.75,single_scale,0.531250,0,9.9405,8.3327,1.0
