scheme,scenario,attack,decode_method,mean_source_accuracy,min_source_accuracy,source_success_rate,mean_mask_pixels,mean_composite_psnr,num_source_rows
full_material_s3.0,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0.416667,0.343750,0.000000,2703.3,40.4882,3
full_material_s3.0,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.427083,0.343750,0.000000,2058.3,40.4882,3
full_material_s3.0,three_sources_extreme_downsize,none,global_full_canvas,0.395833,0.281250,0.000000,3497.0,40.4882,3
full_material_s3.0,three_sources_extreme_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,64777.3,40.4882,3
full_material_s3.0,three_sources_extreme_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,64759.3,40.4882,3
full_material_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.375000,0.343750,0.000000,3892.0,40.4882,3
full_material_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,0.416667,0.375000,0.000000,1083.7,40.4882,3
full_material_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.270833,0.000000,0.000000,737.3,40.4882,3
full_material_s3.0,two_sources_downsize,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,38.8464,2
full_material_s3.0,two_sources_downsize,jpeg_q50,must_mer_resize,0.656250,0.593750,0.000000,3607.0,38.8464,2
full_material_s3.0,two_sources_downsize,jpeg_q50,oracle_box_raw,0.656250,0.625000,0.000000,4064.0,38.8464,2
full_material_s3.0,two_sources_downsize,jpeg_q70,global_full_canvas,0.000000,0.000000,0.000000,0.0,38.8464,2
full_material_s3.0,two_sources_downsize,jpeg_q70,must_mer_resize,0.921875,0.906250,0.000000,55017.5,38.8464,2
full_material_s3.0,two_sources_downsize,jpeg_q70,oracle_box_raw,0.921875,0.906250,0.000000,54868.0,38.8464,2
full_material_s3.0,two_sources_downsize,none,global_full_canvas,0.000000,0.000000,0.000000,0.0,38.8464,2
full_material_s3.0,two_sources_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,65536.0,38.8464,2
full_material_s3.0,two_sources_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,65536.0,38.8464,2
full_material_s3.0,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.000000,0.000000,0.0,38.8464,2
full_material_s3.0,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,0.859375,0.843750,0.000000,45183.5,38.8464,2
full_material_s3.0,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.875000,0.843750,0.000000,46735.5,38.8464,2
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,2.0,40.3176,3
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.343750,0.000000,0.000000,4130.3,40.3176,3
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.322917,0.000000,0.000000,4288.0,40.3176,3
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.000000,0.000000,0.000000,0.0,40.3176,3
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.239583,0.000000,0.000000,721.7,40.3176,3
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.250000,0.000000,0.000000,1003.3,40.3176,3
single_center50_s2.5,three_sources_crop_feather,none,global_full_canvas,0.000000,0.000000,0.000000,0.0,40.3176,3
