image,attack,method,bit_accuracy,message_success
000000517687.png,rotate_45_crop_50,hierarchical,1.000000,1
000000523957.png,none,hierarchical,1.000000,1
000000523957.png,rotate_303,hierarchical,1.000000,1
000000523957.png,rotate_253,hierarchical,1.000000,1
000000523957.png,rotate_139,hierarchical,0.687500,0
000000523957.png,flip_h,hierarchical,0.718750,0
000000523957.png,flip_v,hierarchical,0.500000,0
000000523957.png,rotate_45_crop_50,hierarchical,1.000000,1
000000533145.png,none,hierarchical,1.000000,1
000000533145.png,rotate_159,hierarchical,0.656250,0
000000533145.png,rotate_8,hierarchical,1.000000,1
000000533145.png,rotate_232,hierarchical,0.968750,0
000000533145.png,flip_h,hierarchical,0.687500,0
000000533145.png,flip_v,hierarchical,0.531250,0
000000533145.png,rotate_45_crop_50,hierarchical,1.000000,1
000000562243.png,none,hierarchical,1.000000,1
000000562243.png,rotate_207,hierarchical,0.562500,0
000000562243.png,rotate_130,hierarchical,1.000000,1
000000562243.png,rotate_151,hierarchical,0.656250,0
000000562243.png,flip_h,hierarchical,0.687500,0
000000562243.png,flip_v,hierarchical,0.531250,0
000000562243.png,rotate_45_crop_50,hierarchical,1.000000,1
000000563470.png,none,hierarchical,1.000000,1
000000563470.png,rotate_115,hierarchical,0.968750,0
000000563470.png,rotate_74,hierarchical,1.000000,1
000000563470.png,rotate_112,hierarchical,0.968750,0
000000563470.png,flip_h,hierarchical,0.656250,0
000000563470.png,flip_v,hierarchical,0.500000,0
000000563470.png,rotate_45_crop_50,hierarchical,1.000000,1
000000573258.png,none,hierarchical,1.000000,1
000000573258.png,rotate_103,hierarchical,1.000000,1
000000573258.png,rotate_339,hierarchical,1.000000,1
000000573258.png,rotate_253,hierarchical,1.000000,1
000000573258.png,flip_h,hierarchical,0.656250,0
000000573258.png,flip_v,hierarchical,0.531250,0
000000573258.png,rotate_45_crop_50,hierarchical,1.000000,1
000000575243.png,none,hierarchical,1.000000,1
000000575243.png,rotate_337,hierarchical,1.000000,1
000000575243.png,rotate_193,hierarchical,0.593750,0
000000575243.png,rotate_309,hierarchical,1.000000,1
000000575243.png,flip_h,hierarchical,0.656250,0
000000575243.png,flip_v,hierarchical,0.468750,0
000000575243.png,rotate_45_crop_50,hierarchical,1.000000,1
